t_s,wp_idx,x,y
90.28113317489624,95,22.0,12.0
90.28113317489624,96,22.5,12.0
90.28113317489624,97,23.0,12.0
90.28113317489624,98,23.5,12.0
90.28113317489624,99,24.0,12.0
90.28113317489624,100,24.5,12.0
90.28113317489624,101,25.0,12.0
90.28113317489624,102,25.5,12.0
90.28113317489624,103,26.0,12.0
90.28113317489624,104,26.5,12.0
90.28113317489624,105,27.0,12.0
90.28113317489624,106,27.5,12.0
90.28113317489624,107,28.0,12.0
90.28113317489624,108,28.5,12.0
90.28113317489624,109,29.0,12.0
90.28113317489624,110,29.5,12.0
90.28113317489624,111,30.0,12.0
318.9383296966553,0,18.0,26.0
318.9383296966553,1,18.0,25.5
318.9383296966553,2,18.0,25.0
318.9383296966553,3,18.0,24.5
318.9383296966553,4,18.0,24.0
318.9383296966553,5,18.0,23.5
318.9383296966553,6,18.0,23.0
318.9383296966553,7,18.0,22.5
318.9383296966553,8,18.0,22.0
318.9383296966553,9,17.5,22.0
318.9383296966553,10,17.0,22.0
318.9383296966553,11,17.0,21.5
318.9383296966553,12,17.0,21.0
318.9383296966553,13,17.0,20.5
318.9383296966553,14,17.0,20.0
318.9383296966553,15,17.0,19.5
318.9383296966553,16,17.0,19.0
318.9383296966553,17,17.0,18.5
318.9383296966553,18,17.0,18.0
318.9383296966553,19,17.0,17.5
318.9383296966553,20,17.0,17.0
318.9383296966553,21,17.0,16.5
318.9383296966553,22,17.0,16.0
318.9383296966553,23,17.0,15.5
318.9383296966553,24,17.0,15.0
318.9383296966553,25,17.5,15.0
318.9383296966553,26,18.0,15.0
318.9383296966553,27,18.5,15.0
318.9383296966553,28,19.0,15.0
318.9383296966553,29,19.5,15.0
318.9383296966553,30,20.0,15.0
318.9383296966553,31,20.5,15.0
318.9383296966553,32,21.0,15.0
318.9383296966553,33,21.5,15.0
318.9383296966553,34,22.0,15.0
318.9383296966553,35,22.5,15.0
318.9383296966553,36,23.0,15.0
318.9383296966553,37,23.5,15.0
318.9383296966553,38,24.0,15.0
318.9383296966553,39,24.5,15.0
318.9383296966553,40,25.0,15.0
318.9383296966553,41,25.5,15.0
318.9383296966553,42,25.5,14.5
318.9383296966553,43,25.5,14.0
318.9383296966553,44,25.5,13.5
318.9383296966553,45,25.5,13.0
318.9383296966553,46,25.5,12.5
318.9383296966553,47,25.5,12.0
318.9383296966553,48,26.0,12.0
318.9383296966553,49,26.5,12.0
318.9383296966553,50,27.0,12.0
318.9383296966553,51,27.5,12.0
318.9383296966553,52,28.0,12.0
318.9383296966553,53,28.5,12.0
318.9383296966553,54,29.0,12.0
318.9383296966553,55,29.5,12.0
318.9383296966553,56,30.0,12.0
436.72561621665955,0,21.0,15.0
436.72561621665955,1,21.0,14.5
436.72561621665955,2,21.0,14.0
436.72561621665955,3,21.0,13.5
436.72561621665955,4,21.5,13.5
436.72561621665955,5,22.0,13.5
436.72561621665955,6,22.0,13.0
436.72561621665955,7,22.0,12.5
436.72561621665955,8,22.0,12.0
436.72561621665955,9,22.5,12.0
436.72561621665955,10,23.0,12.0
436.72561621665955,11,23.5,12.0
436.72561621665955,12,24.0,12.0
436.72561621665955,13,24.5,12.0
436.72561621665955,14,25.0,12.0
436.72561621665955,15,25.5,12.0
436.72561621665955,16,26.0,12.0
436.72561621665955,17,26.5,12.0
436.72561621665955,18,27.0,12.0
436.72561621665955,19,27.5,12.0
436.72561621665955,20,28.0,12.0
436.72561621665955,21,28.5,12.0
436.72561621665955,22,29.0,12.0
436.72561621665955,23,29.5,12.0
436.72561621665955,24,30.0,12.0
438.7663803100586,0,21.0,15.0
438.7663803100586,1,21.0,14.5
438.7663803100586,2,21.0,14.0
438.7663803100586,3,21.0,13.5
438.7663803100586,4,21.5,13.5
438.7663803100586,5,22.0,13.5
438.7663803100586,6,22.0,13.0
438.7663803100586,7,22.0,12.5
438.7663803100586,8,22.0,12.0
438.7663803100586,9,22.5,12.0
438.7663803100586,10,23.0,12.0
438.7663803100586,11,23.5,12.0
438.7663803100586,12,24.0,12.0
438.7663803100586,13,24.5,12.0
438.7663803100586,14,25.0,12.0
438.7663803100586,15,25.5,12.0
438.7663803100586,16,26.0,12.0
438.7663803100586,17,26.5,12.0
438.7663803100586,18,27.0,12.0
438.7663803100586,19,27.5,12.0
438.7663803100586,20,28.0,12.0
438.7663803100586,21,28.5,12.0
438.7663803100586,22,29.0,12.0
438.7663803100586,23,29.5,12.0
438.7663803100586,24,30.0,12.0
546.6897144317627,0,29.5,12.0
546.6897144317627,1,30.0,12.0
